#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,195356.40806211415,72100.26499779531,267456.6730599095,289.05562234964907,226.95417553109834,1.0915595095632202,0
4000,194928.6467787429,72297.70634332433,267226.35312206723,289.8471802033017,226.67559582894518,1.0929010140244506,243
6000,194439.43721031095,72742.05396642319,267181.49117673415,291.6286047062263,226.51807960550875,1.0936609959235501,242
8000,194697.75130370632,72387.82028159073,267085.57158529706,290.2084540558842,226.6781804148996,1.0928885527606216,242
10000,194733.38374941074,72740.75776794512,267474.14151735586,291.62340814477426,227.79965348965771,1.0875081886254847,242
12000,194351.2460792543,72401.01532389977,266752.2614031541,290.2613540163308,227.28131619028497,1.089988357549999,242
14000,194858.27672118042,71919.5101239848,266777.7868451652,288.3309618710277,227.35301238770026,1.0896446276840845,242
16000,194453.5126636338,72733.35257119258,267186.86523482634,291.5937201296748,227.6444344754796,1.0882497044430708,242
18000,195148.31727036275,72180.43648056127,267328.753750924,289.3770361176334,227.7278874739282,1.0878509052362457,241
20000,195423.54908913665,72376.41113387907,267799.96022301575,290.16271388707383,227.38137782066062,1.0895086964045162,242
22000,194484.9911231919,72416.21167957076,266901.2028027626,290.3222773991513,226.7136850401836,1.092717400328707,242
24000,194677.4307777685,71586.4500166042,266263.8807943727,286.99569775484605,226.06617394004212,1.0958472212731631,238
26000,194462.82453136996,71722.96818473593,266185.7927161059,287.54300980775685,226.34357067539034,1.094504199067078,238
28000,194170.76738901774,72286.31466589641,266457.08205491415,289.8015100742303,226.6030430415557,1.0932509343690495,238
30000,194551.2079404937,72976.83316812968,267528.0411086234,292.56985295636935,227.17515449485592,1.0904977222835357,239
32000,194126.19661392085,71765.84048538141,265892.0370993023,287.71488822658125,225.51176574415717,1.098541301020651,239
34000,193960.7525876608,72461.8868831649,266422.63947082567,290.50539287592875,225.50224639835844,1.0985876748137535,239
36000,194483.658920169,72423.69115679717,266907.35007696616,290.35226321050163,226.1976480187875,1.0952102760833058,239
38000,193768.1287982082,72841.36617717968,266609.4949753879,292.02675515529904,225.75928896860367,1.0973368567372794,239
40000,194241.47868799104,71987.74418436583,266229.2228723569,288.60451757556615,226.36069621378098,1.0944213932885425,239
42000,193522.8341006484,71847.3467842213,265370.1808848697,288.0416533769909,225.600869526308,1.0981074188952171,239
44000,194115.94014285575,71687.07712158049,265803.01726443623,287.3991197180671,225.9498781757198,1.0964112507438024,238
46000,192873.39611543762,71880.9006975467,264754.29681298434,288.1761736495424,225.95772286610114,1.0963731860709793,238
48000,194038.2389618588,71493.44147495959,265531.6804368184,286.62281921008986,225.36863748276437,1.099238968221551,238
50000,194364.58058013662,72006.34482838109,266370.9254085177,288.67908901760035,225.45764569140275,1.0988050007190218,238
