#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,-39350.30249059398,7544.639040483126,-31805.663450110857,302.4705017820662,31.66868235521033,0.9446287968110613,0
10000,-40039.88585256334,7362.391268059719,-32677.49458450362,295.16404551851485,30.479220117068284,0.9814932663923908,619
15000,-39902.65238549141,7710.175475480944,-32192.476910010468,309.10698740958776,30.69658465638835,0.9745432478778481,602
20000,-39427.260217638715,7467.722188039899,-31959.538029598814,299.3868447867926,30.827908412981927,0.9703917926912117,608
25000,-39941.95452178593,7698.01006968031,-32243.944452105618,308.6192667410235,30.504254192812933,0.9806877795046135,601
30000,-39763.670872474846,7319.35605213459,-32444.314820340256,293.43872992881904,30.870900160585727,0.9690403957830825,604
35000,-40105.20941105258,7393.966113820492,-32711.24329723209,296.42990587176786,29.93164495075932,0.9994488895951946,601
40000,-40167.13780453254,7695.917787924496,-32471.220016608044,308.535385522962,29.839302595904368,1.0025418393625616,603
45000,-40110.50203304103,7363.504631427613,-32746.997401613422,295.20868112993986,30.61442439721362,0.9771586400467078,601
50000,-39808.40666578006,7310.297809207803,-32498.108856572253,293.0755778590344,30.439283111496742,0.982781007036767,602
55000,-39840.802977847605,7744.178541794616,-32096.62443605299,310.47019703099414,30.566901181705706,0.9786778558926423,600
60000,-40039.44330152898,7470.191227837888,-32569.252073691096,299.48583053052533,30.30748504979947,0.9870548236067497,598
65000,-39735.564421997085,7497.507327170795,-32238.05709482629,300.5809543963086,30.265540562364876,0.9884227657573522,600
70000,-39502.854836711194,7619.493715558974,-31883.361121152222,305.47148446784297,30.670009236805814,0.9753876850449096,599
75000,-40037.67009092448,7550.026409725235,-32487.643681199246,302.6864856441439,30.72928676337525,0.9735061389530342,600
80000,-39683.65501916921,7465.767556914123,-32217.887462255087,299.30848209054693,30.88012418409494,0.9687509393243328,599
85000,-39895.50558371167,7671.018689253775,-32224.486894457892,307.53716111110566,30.444728495973088,0.9826052255237187,601
90000,-40273.82039355402,7462.5524186159155,-32811.267974938106,299.17958467224247,30.18575224817905,0.9910354084880773,600
95000,-39587.46417939098,7617.883690795612,-31969.58048859537,305.4069373111874,30.26184216048707,0.9885435642399282,601
100000,-40189.89442392593,7461.0250795729835,-32728.869344352945,299.1183524510284,30.039286041522693,0.9958675205676633,600
